User ID,Last Name,First Name,Work Email,Primary Email Type,Federated
VUTE32H3,Blackwell,Brandon,brandon.blackwell@acmecorp.org,work,FALSE
3S795ZPX,Robles,Ronald,ronald.robles@example.com,work,FALSE
4ZPII760,Gonzalez,Whitney,whitney.gonzalez@globex.net,work,FALSE
IILZZJ9J,Miller,Brian,brian.miller@acmecorp.org,work,FALSE
V9L5F6JX,Mason,Lisa,lisa.mason@globex.net,work,FALSE
IIDJKXJD,Moore,Donald,donald.moore@globex.net,work,FALSE
C60HP45E,Kelly,Jasmine,jasmine.kelly@globex.net,work,FALSE
E8EFPRRO,Haley,Patricia,patricia.haley@globex.net,work,FALSE
E755CY1C,Rodriguez,Elaine,elaine.rodriguez@globex.net,work,FALSE
WVDNTX17,Williams,Darren,darren.williams@example.com,work,FALSE
GV7W0IBD,Cameron,Jennifer,jennifer.cameron@inovatech.co,work,FALSE
FJT4HEIT,Miller,Cynthia,cynthia.miller@acmecorp.org,work,FALSE
W235PB6R,Aguilar,William,william.aguilar@acmecorp.org,work,FALSE
SRWKH3GU,Gentry,Brandy,brandy.gentry@acmecorp.org,work,FALSE
1FHQ701G,Campbell,Edward,edward.campbell@inovatech.co,work,FALSE
N7U7AIUI,Brown,Jeremy,jeremy.brown@acmecorp.org,work,FALSE
TBJ3J8YO,Duncan,Ryan,ryan.duncan@globex.net,work,FALSE
7H10V1IJ,Smith,Michelle,michelle.smith@inovatech.co,work,FALSE
K4I3NI7B,Baker,Wayne,wayne.baker@globex.net,work,FALSE
BSZX8QWO,Brown,Jason,jason.brown@acmecorp.org,work,FALSE
L1OINQNO,Hampton,Christopher,christopher.hampton@acmecorp.org,work,FALSE
MBA72KXV,Benson,Bradley,bradley.benson@example.com,work,FALSE
FLDKFUYA,Lawson,Anthony,anthony.lawson@inovatech.co,work,FALSE
HO4RUDDE,Smith,Charles,charles.smith@example.com,work,FALSE
4Z1HDG48,Ortiz,Marcus,marcus.ortiz@inovatech.co,work,FALSE
1VDEE4JQ,Anderson,Brittany,brittany.anderson@example.com,work,FALSE
X4VZIKSQ,Montgomery,Monica,monica.montgomery@inovatech.co,work,FALSE
MK292B1I,Armstrong,Patricia,patricia.armstrong@example.com,work,FALSE
SUIVLDIO,Williams,Julia,julia.williams@example.com,work,FALSE
YUMXX1HQ,Davis,Amanda,amanda.davis@inovatech.co,work,FALSE
UARKBF15,Wilkins,Kyle,kyle.wilkins@example.com,work,FALSE
KCP095AP,Casey,Jennifer,jennifer.casey@example.com,work,FALSE
K40SR9FB,Castro,Adam,adam.castro@example.com,work,FALSE
JBJS9541,Lee,Vickie,vickie.lee@example.com,work,FALSE
D9XRCDRG,Juarez,Melanie,melanie.juarez@inovatech.co,work,FALSE
G5IAGL0R,Chapman,Kelly,kelly.chapman@globex.net,work,FALSE
16IZ04I4,Walker,Alicia,alicia.walker@inovatech.co,work,FALSE
MBS3QA7E,Diaz,Jerry,jerry.diaz@example.com,work,FALSE
9C7RRH1W,Moore,Peter,peter.moore@globex.net,work,FALSE
KM00BKH4,Ross,Vickie,vickie.ross@globex.net,work,FALSE
JKD00EAS,Anderson,Stephen,stephen.anderson@example.com,work,FALSE
9VCSZF7B,Wilson,Heather,heather.wilson@example.com,work,FALSE
A8XYTXDF,Anderson,Terri,terri.anderson@acmecorp.org,work,FALSE
EK4TQ1QB,Morgan,Ariana,ariana.morgan@inovatech.co,work,FALSE
KS7LZMFV,Cummings,Mary,mary.cummings@acmecorp.org,work,FALSE
